"county","year","race_or_ethnicity","total","gender","age_group","population","eth_arrest_rate","rate_prob","z_score"
"Alameda",2005,"Hispanic",1465,"All Combined","Juvenile",103616,0.01414,0.5677,-0.170521534863616
"Butte",2005,"Hispanic",120,"All Combined","Juvenile",9157,0.0131,0.60694,-0.271352410777117
"Contra Costa",2005,"Hispanic",722,"All Combined","Juvenile",75421,0.00957,0.73029,-0.613690299137967
"Fresno",2005,"Hispanic",2717,"All Combined","Juvenile",157543,0.01725,0.44786,0.131069915211048
"Humboldt",2005,"Hispanic",2,"All Combined","Juvenile",3760,0.00053,0.93193,-1.49032044212503
"Imperial",2005,"Hispanic",9,"All Combined","Juvenile",41421,0.00022,0.93579,-1.52036207750668
"Kern",2005,"Hispanic",2276,"All Combined","Juvenile",135317,0.01682,0.46439,0.0893798962324471
"Kings",2005,"Hispanic",1075,"All Combined","Juvenile",23908,0.04496,0.00241,2.81882359214859
"Los Angeles",2005,"Hispanic",28028,"All Combined","Juvenile",1589070,0.01764,0.43294,0.16889402378381
"Madera",2005,"Hispanic",302,"All Combined","Juvenile",26875,0.01124,0.67427,-0.451734862436111
"Marin",2005,"Hispanic",296,"All Combined","Juvenile",9988,0.02964,0.09133,1.33260945723919
"Merced",2005,"Hispanic",685,"All Combined","Juvenile",48265,0.01419,0.56579,-0.165665751375116
"Monterey",2005,"Hispanic",1241,"All Combined","Juvenile",77486,0.01602,0.49529,0.011806493458767
"Napa",2005,"Hispanic",26,"All Combined","Juvenile",13298,0.00196,0.91176,-1.3516728314991
"Orange",2005,"Hispanic",5512,"All Combined","Juvenile",351181,0.0157,0.50767,-0.0192270234367061
"Placer",2005,"Hispanic",128,"All Combined","Juvenile",12965,0.00987,0.72059,-0.584595104795524
"Riverside",2005,"Hispanic",3345,"All Combined","Juvenile",318554,0.0105,0.69969,-0.523509128823256
"Sacramento",2005,"Hispanic",1263,"All Combined","Juvenile",96233,0.01312,0.6062,-0.269428444018258
"San Bernardino",2005,"Hispanic",9533,"All Combined","Juvenile",336425,0.02834,0.11381,1.2065123502413
"San Diego",2005,"Hispanic",7360,"All Combined","Juvenile",318433,0.02311,0.24217,0.699339319515023
"San Francisco",2005,"Hispanic",2,"All Combined","Juvenile",25772,8e-05,0.93748,-1.53395794178218
"San Joaquin",2005,"Hispanic",2470,"All Combined","Juvenile",89255,0.02767,0.12682,1.14155268689393
"San Luis Obispo",2005,"Hispanic",96,"All Combined","Juvenile",16398,0.00585,0.83508,-0.974436205522015
"San Mateo",2005,"Hispanic",834,"All Combined","Juvenile",53277,0.01565,0.5096,-0.0240659542817363
"Santa Barbara",2005,"Hispanic",812,"All Combined","Juvenile",56505,0.01437,0.55891,-0.148206249372837
"Santa Clara",2005,"Hispanic",5917,"All Combined","Juvenile",148781,0.03977,0.01031,2.31487086968197
"Santa Cruz",2005,"Hispanic",129,"All Combined","Juvenile",25820,0.005,0.85471,-1.05685011127622
"Shasta",2005,"Hispanic",72,"All Combined","Juvenile",4716,0.01527,0.52429,-0.0609236681458153
"Solano",2005,"Hispanic",820,"All Combined","Juvenile",31556,0.02599,0.16388,0.978635726756572
"Sonoma",2005,"Hispanic",524,"All Combined","Juvenile",37018,0.01416,0.56693,-0.168563490393188
"Stanislaus",2005,"Hispanic",1191,"All Combined","Juvenile",73867,0.01612,0.49142,0.0215085288491077
"Sutter",2005,"Hispanic",170,"All Combined","Juvenile",8830,0.01925,0.37258,0.325027841813498
"Tulare",2005,"Hispanic",1214,"All Combined","Juvenile",93239,0.01302,0.60992,-0.279110533076344
"Ventura",2005,"Hispanic",3048,"All Combined","Juvenile",105653,0.02885,0.10456,1.25598888497723
"Yolo",2005,"Hispanic",139,"All Combined","Juvenile",18609,0.00747,0.79313,-0.817329767149265
"Alameda",2005,"Black",2299,"All Combined","Juvenile",49014,0.0469,0.7634,-0.717282180711017
"Butte",2005,"Black",80,"All Combined","Juvenile",840,0.09524,0.25079,0.672005806180869
"Contra Costa",2005,"Black",1315,"All Combined","Juvenile",26901,0.04888,0.7455,-0.660395592279369
"Fresno",2005,"Black",1157,"All Combined","Juvenile",14708,0.07866,0.4225,0.195501964379319
"Kern",2005,"Black",754,"All Combined","Juvenile",12728,0.05924,0.64156,-0.362631735780957
"Kings",2005,"Black",240,"All Combined","Juvenile",1942,0.12358,0.06857,1.48652617000547
"Los Angeles",2005,"Black",12302,"All Combined","Juvenile",232002,0.05303,0.70578,-0.54109805323864
"Madera",2005,"Black",29,"All Combined","Juvenile",915,0.03169,0.87584,-1.15443957040515
"Marin",2005,"Black",230,"All Combined","Juvenile",1194,0.19263,0.00026,3.47023664523664
"Merced",2005,"Black",187,"All Combined","Juvenile",2369,0.07894,0.41935,0.203556614265585
"Monterey",2005,"Black",159,"All Combined","Juvenile",2324,0.06842,0.53935,-0.0987963079275345
"Napa",2005,"Black",17,"All Combined","Juvenile",483,0.0352,0.85396,-1.05356962933445
"Orange",2005,"Black",392,"All Combined","Juvenile",11145,0.03517,0.85415,-1.05439961164859
"Placer",2005,"Black",33,"All Combined","Juvenile",945,0.03492,0.85579,-1.06159408530309
"Riverside",2005,"Black",1276,"All Combined","Juvenile",36128,0.03532,0.85316,-1.05008289989493
"Sacramento",2005,"Black",2470,"All Combined","Juvenile",41888,0.05897,0.64446,-0.370406005224586
"San Bernardino",2005,"Black",3821,"All Combined","Juvenile",55443,0.06892,0.53364,-0.0844231524513095
"San Diego",2005,"Black",2677,"All Combined","Juvenile",42420,0.06311,0.59925,-0.251406296638342
"San Francisco",2005,"Black",1067,"All Combined","Juvenile",10543,0.1012,0.19953,0.843301221224087
"San Joaquin",2005,"Black",1791,"All Combined","Juvenile",14430,0.12412,0.06654,1.50206625015045
"San Luis Obispo",2005,"Black",17,"All Combined","Juvenile",581,0.02926,0.88957,-1.22424451769808
"San Mateo",2005,"Black",369,"All Combined","Juvenile",4143,0.08907,0.31041,0.494688528946751
"Santa Barbara",2005,"Black",92,"All Combined","Juvenile",1512,0.06085,0.62414,-0.316372220167368
"Santa Clara",2005,"Black",945,"All Combined","Juvenile",10122,0.09336,0.26829,0.617992928564287
"Santa Cruz",2005,"Black",16,"All Combined","Juvenile",385,0.04156,0.80806,-0.870769539919817
"Shasta",2005,"Black",48,"All Combined","Juvenile",439,0.10934,0.14068,1.07726924028852
"Solano",2005,"Black",1446,"All Combined","Juvenile",16439,0.08796,0.32176,0.462782885339575
"Sonoma",2005,"Black",88,"All Combined","Juvenile",1654,0.0532,0.7041,-0.536229424426052
"Stanislaus",2005,"Black",330,"All Combined","Juvenile",4086,0.08076,0.39903,0.255858630001789
"Sutter",2005,"Black",43,"All Combined","Juvenile",430,0.1,0.20931,0.808817723561225
"Tulare",2005,"Black",167,"All Combined","Juvenile",1748,0.09554,0.24805,0.68063891008292
"Ventura",2005,"Black",188,"All Combined","Juvenile",3344,0.05622,0.67344,-0.449432071445506
"Yolo",2005,"Black",40,"All Combined","Juvenile",999,0.04004,0.81976,-0.914450836293415
"Alameda",2005,"White",1342,"All Combined","Juvenile",94600,0.01419,0.54016,-0.100836817050338
"Butte",2005,"White",440,"All Combined","Juvenile",32398,0.01358,0.5657,-0.165437042058351
"Contra Costa",2005,"White",1016,"All Combined","Juvenile",108302,0.00938,0.72912,-0.610153695390058
"Fresno",2005,"White",1393,"All Combined","Juvenile",64940,0.02145,0.2521,0.667895970059511
"Humboldt",2005,"White",21,"All Combined","Juvenile",19206,0.00109,0.93162,-1.48796547058476
"Imperial",2005,"White",6,"All Combined","Juvenile",4734,0.00127,0.92907,-1.46889968539841
"Kern",2005,"White",1461,"All Combined","Juvenile",75627,0.01932,0.32911,0.442372051472942
"Kings",2005,"White",607,"All Combined","Juvenile",12285,0.04941,0.00014,3.63313355094725
"Los Angeles",2005,"White",6967,"All Combined","Juvenile",495362,0.01406,0.54562,-0.114602749859836
"Madera",2005,"White",31,"All Combined","Juvenile",11601,0.00267,0.90669,-1.32064428315
"Marin",2005,"White",585,"All Combined","Juvenile",32908,0.01778,0.39001,0.279292971112183
"Merced",2005,"White",271,"All Combined","Juvenile",19353,0.014,0.54814,-0.120963431357412
"Monterey",2005,"White",278,"All Combined","Juvenile",25580,0.01087,0.6745,-0.452373408825423
"Napa",2005,"White",46,"All Combined","Juvenile",15134,0.00304,0.89998,-1.28143761266827
"Orange",2005,"White",2857,"All Combined","Juvenile",283343,0.01008,0.70403,-0.536026841267071
"Placer",2005,"White",516,"All Combined","Juvenile",55999,0.00921,0.73505,-0.628158673220594
"Riverside",2005,"White",2204,"All Combined","Juvenile",179674,0.01227,0.61949,-0.304141619487269
"Sacramento",2005,"White",2018,"All Combined","Juvenile",149352,0.01351,0.56861,-0.172836431199085
"San Bernardino",2005,"White",3531,"All Combined","Juvenile",167388,0.02109,0.26442,0.629777757670014
"San Diego",2005,"White",4216,"All Combined","Juvenile",277123,0.01521,0.49714,0.0071690182733754
"San Francisco",2005,"White",477,"All Combined","Juvenile",29079,0.0164,0.44703,0.133168654630548
"San Joaquin",2005,"White",1356,"All Combined","Juvenile",57934,0.02341,0.19067,0.875429967684082
"San Luis Obispo",2005,"White",180,"All Combined","Juvenile",32419,0.00555,0.84511,-1.01568376824569
"San Mateo",2005,"White",381,"All Combined","Juvenile",54297,0.00702,0.80512,-0.860052687298298
"Santa Barbara",2005,"White",926,"All Combined","Juvenile",35649,0.02598,0.12557,1.14758481838405
"Santa Clara",2005,"White",1899,"All Combined","Juvenile",123420,0.01539,0.48954,0.026222336570274
"Santa Cruz",2005,"White",307,"All Combined","Juvenile",26619,0.01153,0.64895,-0.382487228868082
"Shasta",2005,"White",690,"All Combined","Juvenile",31758,0.02173,0.24273,0.697547857902905
"Solano",2005,"White",1117,"All Combined","Juvenile",37308,0.02994,0.05857,1.56689173447205
"Sonoma",2005,"White",759,"All Combined","Juvenile",61785,0.01228,0.61908,-0.303065428430951
"Stanislaus",2005,"White",1104,"All Combined","Juvenile",58117,0.019,0.34146,0.408481785892792
"Sutter",2005,"White",341,"All Combined","Juvenile",10917,0.03124,0.04414,1.7045413383494
"Tulare",2005,"White",450,"All Combined","Juvenile",32947,0.01366,0.56236,-0.156955397452538
"Ventura",2005,"White",1234,"All Combined","Juvenile",89713,0.01375,0.5586,-0.147420659186939
"Yolo",2005,"White",193,"All Combined","Juvenile",20071,0.00962,0.72064,-0.584743797341273
"Alameda",2005,"Asian/Pacific Islander",483,"All Combined","Juvenile",84980,0.00568,0.74649,-0.663484973720199
"Butte",2005,"Asian/Pacific Islander",16,"All Combined","Juvenile",2997,0.00534,0.7629,-0.715662129791599
"Contra Costa",2005,"Asian/Pacific Islander",102,"All Combined","Juvenile",29753,0.00343,0.84345,-1.00873863027537
"Fresno",2005,"Asian/Pacific Islander",484,"All Combined","Juvenile",27088,0.01787,0.11372,1.2069796010253
"Kern",2005,"Asian/Pacific Islander",64,"All Combined","Juvenile",7625,0.00839,0.5978,-0.247656747401685
"Kings",2005,"Asian/Pacific Islander",22,"All Combined","Juvenile",1160,0.01897,0.08444,1.37581150042632
"Los Angeles",2005,"Asian/Pacific Islander",659,"All Combined","Juvenile",251585,0.00262,0.8714,-1.13303394170561
"Madera",2005,"Asian/Pacific Islander",8,"All Combined","Juvenile",520,0.01538,0.20471,0.824914735282592
"Marin",2005,"Asian/Pacific Islander",36,"All Combined","Juvenile",2340,0.01538,0.20471,0.824914735282592
"Merced",2005,"Asian/Pacific Islander",107,"All Combined","Juvenile",5943,0.018,0.10992,1.2269536825197
"Monterey",2005,"Asian/Pacific Islander",42,"All Combined","Juvenile",5208,0.00806,0.61726,-0.298292405686254
"Napa",2005,"Asian/Pacific Islander",4,"All Combined","Juvenile",1453,0.00275,0.86716,-1.11306619729778
"Orange",2005,"Asian/Pacific Islander",620,"All Combined","Juvenile",107798,0.00575,0.74304,-0.652746064661454
"Placer",2005,"Asian/Pacific Islander",18,"All Combined","Juvenile",3635,0.00495,0.78098,-0.775507221380863
"Riverside",2005,"Asian/Pacific Islander",106,"All Combined","Juvenile",25624,0.00414,0.81588,-0.899775002215553
"Sacramento",2005,"Asian/Pacific Islander",517,"All Combined","Juvenile",50506,0.01024,0.48555,0.0362287021508486
"San Bernardino",2005,"Asian/Pacific Islander",214,"All Combined","Juvenile",26859,0.00797,0.62252,-0.312105956314883
"San Diego",2005,"Asian/Pacific Islander",879,"All Combined","Juvenile",64340,0.01366,0.2874,0.560996387297606
"San Francisco",2005,"Asian/Pacific Islander",1,"All Combined","Juvenile",41459,2e-05,0.93723,-1.53192882290691
"San Joaquin",2005,"Asian/Pacific Islander",637,"All Combined","Juvenile",26484,0.02405,0.01557,2.15527910358513
"San Luis Obispo",2005,"Asian/Pacific Islander",3,"All Combined","Juvenile",1350,0.00222,0.88384,-1.19440393070249
"San Mateo",2005,"Asian/Pacific Islander",234,"All Combined","Juvenile",35417,0.00661,0.69874,-0.520780053202235
"Santa Barbara",2005,"Asian/Pacific Islander",18,"All Combined","Juvenile",3502,0.00514,0.77227,-0.746343401136367
"Santa Clara",2005,"Asian/Pacific Islander",1166,"All Combined","Juvenile",117885,0.00989,0.50697,-0.0174720879954274
"Santa Cruz",2005,"Asian/Pacific Islander",16,"All Combined","Juvenile",1441,0.0111,0.43322,0.168182128591723
"Shasta",2005,"Asian/Pacific Islander",19,"All Combined","Juvenile",1217,0.01561,0.19484,0.860197831206173
"Solano",2005,"Asian/Pacific Islander",157,"All Combined","Juvenile",13163,0.01193,0.38379,0.295541833733682
"Sonoma",2005,"Asian/Pacific Islander",30,"All Combined","Juvenile",3760,0.00798,0.62193,-0.310553607732821
"Stanislaus",2005,"Asian/Pacific Islander",120,"All Combined","Juvenile",7184,0.0167,0.1521,1.02746831031655
"Sutter",2005,"Asian/Pacific Islander",26,"All Combined","Juvenile",3336,0.00779,0.63296,-0.339703268594345
"Tulare",2005,"Asian/Pacific Islander",108,"All Combined","Juvenile",3936,0.02744,0.00373,2.67558029977387
"Ventura",2005,"Asian/Pacific Islander",92,"All Combined","Juvenile",10457,0.0088,0.57328,-0.184731038428826
"Yolo",2005,"Asian/Pacific Islander",22,"All Combined","Juvenile",3506,0.00627,0.71666,-0.572947856764834
"Alameda",2005,"Other",211,"All Combined","Juvenile",21737,0.00971,0.59791,-0.247941073283683
"Butte",2005,"Other",19,"All Combined","Juvenile",2637,0.00721,0.65704,-0.404398096126545
"Contra Costa",2005,"Other",121,"All Combined","Juvenile",15254,0.00793,0.64033,-0.359341008246626
"Fresno",2005,"Other",132,"All Combined","Juvenile",5909,0.02234,0.29374,0.542491444023397
"Kern",2005,"Other",230,"All Combined","Juvenile",5709,0.04029,0.04787,1.6658665366937
"Kings",2005,"Other",76,"All Combined","Juvenile",1352,0.05621,0.00388,2.66233762207337
"Los Angeles",2005,"Other",1640,"All Combined","Juvenile",65142,0.02518,0.23569,0.720235516095553
"Marin",2005,"Other",22,"All Combined","Juvenile",2772,0.00794,0.6401,-0.358726101636613
"Merced",2005,"Other",2,"All Combined","Juvenile",1729,0.00116,0.7832,-0.783046170086872
"Monterey",2005,"Other",8,"All Combined","Juvenile",3798,0.00211,0.76534,-0.723585900526617
"Napa",2005,"Other",5,"All Combined","Juvenile",911,0.00549,0.69569,-0.51204430823064
"Orange",2005,"Other",240,"All Combined","Juvenile",27218,0.00882,0.6193,-0.303642853082011
"Placer",2005,"Other",26,"All Combined","Juvenile",3736,0.00696,0.66278,-0.420062221373628
"Riverside",2005,"Other",141,"All Combined","Juvenile",14552,0.00969,0.5984,-0.249207859735428
"Sacramento",2005,"Other",136,"All Combined","Juvenile",23320,0.00583,0.68821,-0.490782908101965
"San Bernardino",2005,"Other",553,"All Combined","Juvenile",17451,0.03169,0.12974,1.1276210331668
"San Diego",2005,"Other",393,"All Combined","Juvenile",36721,0.0107,0.57377,-0.18598056794704
"San Francisco",2005,"Other",495,"All Combined","Juvenile",6834,0.07243,0.00012,3.67270125665706
"San Joaquin",2005,"Other",73,"All Combined","Juvenile",8406,0.00868,0.62264,-0.312421780171196
"San Luis Obispo",2005,"Other",3,"All Combined","Juvenile",2050,0.00146,0.77765,-0.764280673487485
"San Mateo",2005,"Other",49,"All Combined","Juvenile",8775,0.00558,0.69372,-0.506422617776596
"Santa Barbara",2005,"Other",31,"All Combined","Juvenile",3101,0.01,0.59088,-0.229809245652899
"Santa Clara",2005,"Other",219,"All Combined","Juvenile",20621,0.01062,0.57574,-0.191007139026548
"Santa Cruz",2005,"Other",6,"All Combined","Juvenile",2225,0.0027,0.75385,-0.686655254825856
"Shasta",2005,"Other",33,"All Combined","Juvenile",2120,0.01557,0.45272,0.118792185389477
"Solano",2005,"Other",71,"All Combined","Juvenile",9086,0.00781,0.64314,-0.366864624384148
"Sonoma",2005,"Other",35,"All Combined","Juvenile",4819,0.00726,0.65589,-0.40127183169077
"Stanislaus",2005,"Other",63,"All Combined","Juvenile",4807,0.01311,0.51403,-0.0351752470575258
"Sutter",2005,"Other",2,"All Combined","Juvenile",971,0.00206,0.7663,-0.726715918206048
"Tulare",2005,"Other",25,"All Combined","Juvenile",1998,0.01251,0.52898,-0.0727060928386281
"Ventura",2005,"Other",32,"All Combined","Juvenile",7434,0.0043,0.72124,-0.586529117977014
